#step pe ke etotal temp press vol
165000 -1810.6125595598618929 8.0611143377412002309 -1802.5514452221207193 254.54487538277547287 3208.9278411387922461 2683.2073089264999908
166000 -1812.5566087240949855 8.5661802078098041591 -1803.990428516285192 270.49328196408316671 3409.9819217742833644 2683.2073089264999908
167000 -1810.8434940152410491 8.8890087467028067181 -1801.9544852685382921 280.68720140990870959 3538.4918824279602632 2683.2073089264999908
168000 -1812.0511042780631215 7.845852582418774368 -1804.2052516956443924 247.7475798244323073 3123.2375245342404924 2683.2073089264999908
169000 -1810.7951959300080489 9.1035807914240152172 -1801.6916151385839839 287.46271805634444263 3623.9076425062248745 2683.2073089264999908
170000 -1812.1955816711436 9.5415896802776138941 -1802.6539919908659613 301.29367409523723609 3798.2680174146935315 2683.2073089264999908
171000 -1811.63657143578871 8.644198872661249311 -1802.9923725631274465 272.95686832324980742 3441.0391993764806102 2683.2073089264999908
172000 -1811.3738447122277648 9.3430743819895276658 -1802.0307703302382833 295.02517947437138446 3719.2440461770993352 2683.2073089264999908
173000 -1810.6026839599312552 8.9899290779794753803 -1801.612754881951787 283.87395104179722694 3578.6657401853726697 2683.2073089264999908
174000 -1811.1679465513871037 8.8933703348423698287 -1802.2745762165448014 280.82492677428643901 3540.2281214919689774 2683.2073089264999908
175000 -1811.6218567074688508 8.3214801615661091461 -1803.3003765459027363 262.76641689709862248 3312.5729584200466888 2683.2073089264999908
176000 -1810.3743620227967313 8.5155113723380626567 -1801.8588506504586348 268.89331800493670244 3389.8119266580856674 2683.2073089264999908
177000 -1810.9306873242292113 8.9345270396606490948 -1801.996160284568532 282.12452728362126209 3556.6115754919424035 2683.2073089264999908
178000 -1810.1632503454954986 9.0615611181307933464 -1801.101689227364659 286.13586769125640785 3607.180662357230176 2683.2073089264999908
179000 -1811.5782570779101661 8.3980158026802254057 -1803.180241275229946 265.18317398718505729 3343.0398813937899831 2683.2073089264999908
180000 -1811.3960911000490341 8.6925866011862638061 -1802.7035044988626851 274.48480203209066985 3460.3011429152807068 2683.2073089264999908
181000 -1810.7983121841339198 9.0203197548636584457 -1801.7779924292701708 284.83359393187066644 3590.7635079478422995 2683.2073089264999908
